System,Code,Description
snomedct,9.76721E+14,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census 
snomedct,9.76711E+14,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census (finding)
snomedct,9.77401E+14,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census 
snomedct,9.77391E+14,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.78061E+14,Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census 
snomedct,9.78051E+14,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census (finding)
snomedct,414752008,Mixed racial group (racial group)
snomedct,24812003,Mongol (ethnic group)
snomedct,9.4101E+13,Moroccan - ethnic category 2001 census (finding)
snomedct,41076003,Mozambiquans (ethnic group)
snomedct,67439005,Msutu (ethnic group)
snomedct,9.4121E+13,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census (finding)
snomedct,704389008,Murut (ethnic group)
snomedct,8.9031E+13,Muslim - ethnic category 2001 census (finding)
snomedct,270464009,N African Arab/Iranian (NMO) (ethnic group)
snomedct,81846005,Naiars (ethnic group)
snomedct,57539009,Navaho (ethnic group)
snomedct,7.18141E+14,Nepalese 
snomedct,7.18131E+14,Nepali (ethnic group)
snomedct,91488008,New Britons (ethnic group)
snomedct,34334001,New Caledonians (ethnic group)
snomedct,63732001,New Hebrideans (ethnic group)
snomedct,5.92501E+14,New Zealand ethnic group NOS (ethnic group)
snomedct,186035008,New Zealand ethnic groups (ethnic group)
snomedct,186036009,New Zealand European (ethnic group)
snomedct,186039002,New Zealand Maori (ethnic group)
snomedct,87323008,Nez Percé (ethnic group)
snomedct,9.2731E+13,Nigerian - ethnic category 2001 census (finding)
snomedct,88934004,Nigerians (ethnic group)
snomedct,186041001,Niuean (ethnic group)
snomedct,9.4061E+13,North African - ethnic category 2001 census (finding)
snomedct,275594002,North African Arab (NMO) (ethnic group)
snomedct,9.2561E+13,Northern Irish - ethnic category 2001 census (finding)
snomedct,17095009,Norwegians (ethnic group)
snomedct,18575005,Oceanian (ethnic group)
snomedct,10432001,Onge (ethnic group)
snomedct,704386001,Orang asli (ethnic group)
snomedct,91191002,Oraons (ethnic group)
snomedct,414978006,Oriental (ethnic group)
snomedct,51827000,Oriental Jews (ethnic group)
snomedct,9.2521E+13,Other - ethnic category 2001 census (finding)
snomedct,186010002,Other African countries (NMO) (ethnic group)
snomedct,6.61741E+14,Other Asian (ethnic group)
snomedct,186013000,Other Asian (NMO) (ethnic group)
snomedct,9.2481E+13,Other Asian background - ethnic category 2001 census (finding)
snomedct,315281001,Other Asian ethnic group (ethnic group)
snomedct,9.2701E+13,Other Asian or Asian unspecified - ethnic category 2001 census (finding)
snomedct,186000006,Other Black - Black/Asian orig (ethnic group)
snomedct,185999009,Other Black - Black/White orig (ethnic group)
snomedct,9.2501E+13,Other Black background - ethnic category 2001 census (finding)
snomedct,315279003,Other black ethnic group (ethnic group)
snomedct,9.2741E+13,Other Black or Black unspecified - ethnic category 2001 census (finding)
snomedct,6.66871E+14,Other ethnic group (ethnic group)
snomedct,315282008,Other ethnic group (ethnic group)
snomedct,9.76981E+14,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census 
snomedct,9.76971E+14,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census (finding)
snomedct,9.77881E+14,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census 
snomedct,9.77871E+14,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.78411E+14,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census 
snomedct,9.78401E+14,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census (finding)
snomedct,9.76961E+14,Other ethnic group: Arab - England and Wales ethnic category 2011 census 
snomedct,9.76951E+14,Other ethnic group: Arab - England and Wales ethnic category 2011 census (finding)
snomedct,9.77861E+14,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census 
snomedct,9.77851E+14,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.78391E+14,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census "
snomedct,9.78381E+14,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census (finding)"
snomedct,186018009,Other ethnic NEC (NMO) (ethnic group)
